jst_sku_id,skuCode,skuName,category,brand,item_type,format_type
6955631311855,6955631311855,CN草莓-CN,成品 - 成品,EMIE,finished_good,13-digit
6955631309906,6955631309906,Hello Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631312050,6955631312050,Hello Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631309951,6955631309951,Hello Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631312111,6955631312111,Hello Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631311725,6955631311725,Hello Kitty(港),成品 - 成品,EMIE,finished_good,13-digit
6955631309784,6955631309784,Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631309340,6955631309340,Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631309838,6955631309838,Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631311480,6955631311480,Hello kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631311022,6955631311022,JK大耳狗-MMP02,成品 - 成品,EMIE,finished_good,13-digit
6955631312142,6955631312142,KT,成品 - 成品,EMIE,finished_good,13-digit
6955631316171,6955631316171,KT,成品 - 成品,EMIE,finished_good,13-digit
6955631312258,6955631312258,KT,成品 - 成品,EMIE,finished_good,13-digit
6955631312661,6955631312661,KT,成品 - 成品,EMIE,finished_good,13-digit
6955631312890,6955631312890,KT,成品 - 成品,EMIE,finished_good,13-digit
6955631310193,6955631310193,KT,成品 - 成品,EMIE,finished_good,13-digit
6955631311664,6955631311664,KT 0010-Hello Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631311268,6955631311268,KT(蝴蝶)-KT,成品 - 成品,EMIE,finished_good,13-digit
6955631310902,6955631310902,KT-,成品 - 成品,EMIE,finished_good,13-digit
6955631310957,6955631310957,KT-,成品 - 成品,EMIE,finished_good,13-digit
6955631311237,6955631311237,KT-Hello Kitty,成品 - 成品,EMIE,finished_good,13-digit
6955631311527,6955631311527,KT-KT,成品 - 成品,EMIE,finished_good,13-digit
6955631316096,6955631316096,KT单唛,成品 - 成品,EMIE,finished_good,13-digit
6955631316102,6955631316102,KT双唛,成品 - 成品,EMIE,finished_good,13-digit
6955631312289,6955631312289,KT彩虹,成品 - 成品,EMIE,finished_good,13-digit
6955631312609,6955631312609,KU,成品 - 成品,EMIE,finished_good,13-digit
6955631312159,6955631312159,KU,成品 - 成品,EMIE,finished_good,13-digit
